timestamp,gx,gy,gz
1630935185725,-20.0725,14.087500000000002,48.3875
1630935185735,-27.142500000000002,-7.07,40.88
1630935185744,-35.28,-22.6275,32.6375
1630935185754,-35.1225,-22.015,26.722500000000004
1630935185763,-32.7425,-18.48,16.012500000000003
1630935185773,-25.69,-16.012500000000003,7.945000000000001
1630935185783,-9.065000000000001,-25.2525,-5.215000000000001
1630935185792,4.83,-18.672500000000003,-17.0625
1630935185802,16.1525,11.795000000000002,-16.1875
1630935185811,24.395000000000003,32.34,-12.8975
1630935185821,23.415000000000003,32.987500000000004,-10.1675
1630935185831,18.76,25.235000000000003,-4.077500000000001
1630935185840,13.125000000000002,13.265,0.9275000000000001
1630935185850,3.6050000000000004,5.355,5.8100000000000005
1630935185859,-4.2525,3.2025,10.517500000000002
1630935185869,-8.89,4.0075,13.492500000000001
1630935185879,-9.835,3.6575,12.915000000000001
1630935185888,-8.8375,4.130000000000001,11.445
1630935185898,-6.405,5.180000000000001,9.940000000000001
1630935185907,-2.1525000000000003,5.565,8.0325
1630935185917,3.3600000000000003,5.617500000000001,5.53
1630935185927,8.8725,6.300000000000001,3.0625000000000004
1630935185936,13.405000000000001,7.927500000000001,2.24
1630935185946,16.66,9.940000000000001,3.8675
1630935185955,18.445,10.797500000000001,6.772500000000001
1630935185965,18.392500000000002,10.027500000000002,9.852500000000001
1630935185975,17.2025,10.255,13.2825
1630935185984,16.345000000000002,8.365,15.0325
1630935185994,14.927500000000002,7.140000000000001,16.3975
1630935186003,14.1925,5.32,17.2025
1630935186013,13.807500000000001,0.7000000000000001,15.260000000000002
1630935168008,13.387500000000001,-4.7250000000000005,10.675
1630935168018,13.6675,-8.8375,4.4275
1630935168027,13.177500000000002,-7.9975000000000005,-1.4000000000000001
1630935168037,10.762500000000001,-0.77,-3.8150000000000004
1630935168046,5.652500000000001,3.7275000000000005,-4.62
1630935168056,2.205,-13.037500000000001,-11.095
1630935168066,-2.0475000000000003,-44.17,-28.367500000000003
1630935168075,-17.64,-24.587500000000002,-24.85
1630935168085,-28.367500000000003,-3.8150000000000004,-13.615000000000002
1630935168094,-36.260000000000005,-16.135,-10.430000000000001
1630935168104,-38.465,-28.192500000000003,-3.2900000000000005
1630935168114,-32.13,-24.85,2.9400000000000004
1630935168123,-27.895000000000003,-8.47,5.3375
1630935168133,-18.095000000000002,3.3600000000000003,6.4225
1630935168142,2.6775,-2.8000000000000003,2.4325
1630935168152,22.872500000000002,3.1675000000000004,-2.5725000000000002
1630935168162,37.835,34.615,-2.3625000000000003
1630935168171,45.0275,56.85750000000001,-6.0025
1630935168181,39.9525,55.47500000000001,-11.322500000000002
1630935168190,32.602500000000006,37.065000000000005,-12.722500000000002
1630935168200,25.865000000000002,15.977500000000001,-11.812500000000002
1630935168210,18.76,1.0150000000000001,-10.377500000000001
1630935168219,11.655000000000001,-9.555000000000001,-10.2025
1630935168229,5.915000000000001,-17.4475,-11.585
1630935168238,2.2575000000000003,-22.137500000000003,-13.807500000000001
