timestamp,gx,gy,gz
1629457671630,-3.2550000000000003,2.7300000000000004,0.8225000000000001
1629457671639,-3.4125000000000005,2.9575000000000005,0.9975
1629457671649,-3.3950000000000005,2.87,1.155
1629457671659,-3.2725000000000004,2.6425,1.1900000000000002
1629457671668,-3.22,2.87,1.3825
1629457671678,-3.0100000000000002,2.8525000000000005,1.4525000000000001
1629457671687,-2.9575000000000005,2.975,1.4700000000000002
1629457671697,-2.7825,3.0275000000000003,1.4525000000000001
1629457671707,-2.555,2.8525000000000005,1.4000000000000001
1629457671716,-2.345,2.9050000000000002,1.3125000000000002
1629457671726,-2.1875,2.8875,1.2075
1629457671735,-1.8725000000000003,2.5025000000000004,0.9450000000000001
1629457671745,-1.7850000000000001,2.3800000000000003,0.665
1629457671755,-1.7675,2.555,0.47250000000000003
1629457671764,-1.6975000000000002,2.5900000000000003,0.08750000000000001
1629457671774,-1.6450000000000002,2.4325,-0.24500000000000002
1629457671783,-1.54,2.205,-0.36750000000000005
1629457671793,-1.6450000000000002,2.2225,-0.2625
1629457671803,-1.8200000000000003,2.3625000000000003,-0.15750000000000003
1629457671812,-1.995,2.1175,0.12250000000000001
1629457671822,-2.1525000000000003,2.1350000000000002,0.45500000000000007
1629457671831,-2.3975000000000004,2.2750000000000004,0.5950000000000001
1629457671841,-2.4675000000000002,2.205,0.6125
1629457671851,-2.66,2.31,0.7525000000000001
1629457671860,-2.8525000000000005,2.1875,1.0325000000000002
1629457671870,-3.115,2.1175,1.3125000000000002
1629457671879,-3.1500000000000004,2.1525000000000003,1.5225000000000002
1629457671889,-3.2725000000000004,2.205,1.6800000000000002
1629457671899,-3.3950000000000005,2.415,1.7325000000000002
1629457671908,-3.3425000000000002,2.24,1.5750000000000002
1629457671918,-3.4825000000000004,2.31,1.4875
1629457671927,-3.4825000000000004,2.205,1.3650000000000002
1629456577005,-2.7825,1.995,1.12
1629456577015,-2.7475,2.1,1.0325000000000002
1629456577024,-2.66,1.8900000000000001,0.77
1629456577034,-2.6775,1.8550000000000002,0.665
1629456577044,-2.6425,1.7850000000000001,0.7175
1629456577053,-2.6950000000000003,1.6800000000000002,0.9100000000000001
1629456577063,-2.6425,1.5925000000000002,1.2425000000000002
1629456577072,-2.66,1.8200000000000003,1.5575
1629456577082,-2.6075000000000004,2.0475000000000003,1.7500000000000002
1629456577092,-2.5375,2.1350000000000002,1.7850000000000001
1629456577101,-2.4850000000000003,2.0650000000000004,1.7325000000000002
1629456577111,-2.4325,2.1,1.6625
1629456577120,-2.45,2.1875,1.5750000000000002
1629456577130,-2.5200000000000005,2.205,1.5050000000000001
1629456577140,-2.5900000000000003,2.1,1.4875
1629456577149,-2.4675000000000002,2.0300000000000002,1.3825
1629456577159,-2.3275,2.1175,1.2425000000000002
1629456577168,-2.1350000000000002,2.0650000000000004,1.2950000000000002
1629456577178,-2.0300000000000002,2.0125,1.6450000000000002
1629456577188,-2.1,2.2575000000000003,1.7675
1629456577197,-2.1875,2.1700000000000004,1.715
1629456577207,-2.3975000000000004,2.2575000000000003,1.4700000000000002
1629456577216,-2.765,2.1350000000000002,1.1900000000000002
1629456577226,-3.0100000000000002,1.9600000000000002,1.0675000000000001
1629456577236,-3.1500000000000004,2.1700000000000004,1.0150000000000001
1629456577245,-3.2375000000000003,2.5200000000000005,0.9450000000000001
1629456577255,-3.2025,2.7825,1.0150000000000001
1629456577264,-3.08,2.7300000000000004,1.0150000000000001
1629456577274,-2.9050000000000002,2.7825,0.9450000000000001
1629456577284,-2.7475,2.6775,0.9100000000000001
1629456577293,-2.6075000000000004,2.5375,0.665
1629456577303,-2.45,2.2925000000000004,0.5075000000000001
1629456577312,-2.345,2.1350000000000002,0.43750000000000006
1629456577322,-2.3625000000000003,2.1875,0.5425000000000001
1629456577332,-2.2575000000000003,2.1,0.56
1629456577341,-2.2750000000000004,2.1350000000000002,0.665
1629456577351,-2.1,1.9600000000000002,0.7175
1629456577360,-2.1875,2.1175,0.7875000000000001
1629456577370,-2.2225,2.1,0.7525000000000001
1629456577380,-2.0300000000000002,1.9775000000000003,0.7525000000000001
1629456577389,-1.8725000000000003,1.8725000000000003,0.7175
1629456577399,-1.7325000000000002,1.7500000000000002,0.805
1629456577408,-1.6275000000000002,1.8200000000000003,0.8925000000000001
1629456577418,-1.7325000000000002,1.9775000000000003,1.0675000000000001
1629456577428,-1.8550000000000002,1.9600000000000002,1.1900000000000002
1629456577437,-2.0125,1.9600000000000002,1.2600000000000002
1629456577447,-2.345,2.1175,1.2775
1629456577456,-2.555,2.3275,1.2775
1629456577466,-2.8525000000000005,2.6250000000000004,1.2775
1629456577476,-2.9575000000000005,2.7125000000000004,1.2775
1629456577485,-2.87,2.7125000000000004,1.3475000000000001
1629456577495,-2.6950000000000003,2.6075000000000004,1.155
1629456577504,-2.6075000000000004,2.6075000000000004,0.9800000000000001
1629456577514,-2.5900000000000003,2.4325,0.9450000000000001
1629456577524,-2.4850000000000003,2.0300000000000002,0.7350000000000001
1629456577533,-2.3800000000000003,1.8025000000000002,0.6125
1629456577543,-2.415,1.6975000000000002,0.5075000000000001
1629456577552,-2.555,1.715,0.6475000000000001
1629456577562,-2.7475,1.8200000000000003,0.77
1629456577572,-2.9050000000000002,2.0300000000000002,0.7875000000000001
1629456577581,-3.0625000000000004,2.24,0.7175
1629456577591,-3.2900000000000005,2.5725000000000002,0.665
1629456577600,-3.3075,2.66,0.6825000000000001
1629456577610,-3.1500000000000004,2.3275,0.5950000000000001
1629456577620,-3.0100000000000002,2.1,0.56
1629456577629,-2.9050000000000002,2.0650000000000004,0.5950000000000001
1629456577639,-2.8175000000000003,1.9250000000000003,0.6125
1629456577648,-2.8000000000000003,1.7675,0.47250000000000003
1629456577658,-2.6075000000000004,1.4700000000000002,0.22750000000000004
1629456577668,-2.6775,1.6275000000000002,0.08750000000000001
1629456577677,-2.765,1.8025000000000002,0.08750000000000001
1629456577687,-2.87,1.8375000000000001,0.0175
1629456577696,-2.87,1.8375000000000001,-0.0175
1629456577706,-2.9575000000000005,1.7500000000000002,0.0175
1629456577716,-3.0100000000000002,1.7500000000000002,0.10500000000000001
