subject_id,session_id,window_start,window_end,window_mid,eeg_delta_mean_mean,eeg_delta_mean_var,eeg_delta_mean_slope_per_min,eeg_theta_mean_mean,eeg_theta_mean_var,eeg_theta_mean_slope_per_min,eeg_alpha_mean_mean,eeg_alpha_mean_var,eeg_alpha_mean_slope_per_min,eeg_beta_mean_mean,eeg_beta_mean_var,eeg_beta_mean_slope_per_min,eeg_gamma_mean_mean,eeg_gamma_mean_var,eeg_gamma_mean_slope_per_min,eeg_theta_alpha_ratio_mean,eeg_theta_alpha_ratio_var,eeg_theta_alpha_ratio_slope_per_min,eeg_beta_alpha_ratio_mean,eeg_beta_alpha_ratio_var,eeg_beta_alpha_ratio_slope_per_min,eeg_drowsiness_index_mean,eeg_drowsiness_index_var,eeg_drowsiness_index_slope_per_min,hr_mean,hr_var,hrv_sdnn,hrv_rmssd,hrv_pnn50,eda_mean,eda_peak_count,eda_peak_amp_mean,eda_slope_per_min,temp_mean,temp_slope_per_min,wr_acc_rms_mean,fore_acc_rms_mean,task_block,mentalFatigueScore,physicalFatigueScore
01,01,2021-08-19 10:53:43+00:00,2021-08-19 10:54:12+00:00,2021-08-19 10:53:57.500000+00:00,0.28745458284392955,0.07737711387435904,-0.7596309953664442,0.05447307548408086,0.032923624599092934,-0.2848278403482104,0.27875012330866106,0.018732242896457762,0.03757477964111948,0.19943974373672974,0.009528683023063972,-0.27919856008032545,0.02009314842386326,0.022563508491826208,-0.2127067701839524,-0.6367255778625976,15.973617064366087,-2.0442900834599858,1.1875322956299321,3.4687746002011686,-1.3375104054585332,0.5876085776036093,1.0245873281146944,-2.0445019457157034,84.21533333333335,1.969080919540229,46.16914953897295,62.5,44.44444444444444,0.06972585,0,,0.005977034482758698,32.935333333333325,-0.016551724137903623,0.9799261497408692,0.9976480250883536,baseline,14.16666667,14.44444444
01,01,2021-08-19 10:53:58+00:00,2021-08-19 10:54:27+00:00,2021-08-19 10:54:12.500000+00:00,0.16687867262711129,0.05880202939723939,-0.5331696311635554,0.08799536156002433,0.03704561758027085,-0.0587449272083443,0.33547060731992434,0.022372187964118093,0.2688465394337123,0.27293376094627697,0.014409975763147035,0.4142087086263975,0.1317578959055633,0.033784710400537245,0.23836908345740038,-0.39814742456121166,15.191147141720434,6.45083307937746,1.1463721036918089,2.9412332696674492,-1.7695542544610872,0.324164424170845,0.5533766769754689,-0.11706971093728624,79.94966666666667,17.33442402298851,46.16914953897295,62.5,44.44444444444444,0.07241661666666666,0,,0.012614162402669632,32.937333333333335,0.015750834260322595,0.9798853441281544,0.9988230576904606,baseline,14.16666667,14.44444444
01,01,2021-08-19 10:54:13+00:00,2021-08-19 10:54:42+00:00,2021-08-19 10:54:27.500000+00:00,-0.0011201616221417831,0.06678655811994196,-1.14267913431128,0.02190910995532249,0.04057485693363266,-0.9360157092722603,0.3218613844647431,0.02054147017408954,-0.28673357242933345,0.3378924906641866,0.0033481925282066536,0.04689029052758328,0.19419588629486195,0.009017646713667195,-0.24927007352730732,-0.11948993051581383,1.1724865968899227,-4.909329507863736,1.344804540298408,0.7737002168997308,2.8933836044825387,-0.016939313566279333,0.5473078289797038,-3.670223289097785,72.82666666666667,16.12596091954023,46.16914953897295,62.5,44.44444444444444,0.07380484166666666,0,,0.0019503236929923333,32.95400000000001,0.09183537263628018,0.9783860447997504,1.0031814816019613,baseline,14.16666667,14.44444444
01,01,2021-08-19 10:54:28+00:00,2021-08-19 10:54:57+00:00,2021-08-19 10:54:42.500000+00:00,0.018660938415753964,0.1360750442802976,1.4107025531325192,0.002189530984439139,0.06096149774407028,0.6964047917156515,0.30099830343836703,0.02283037693543229,0.05427578672780228,0.3719409533465902,0.003819240054835177,0.35629138931449755,0.18435700218057416,0.004131824199627994,0.09852649249953316,-0.3891436164440422,1.3946905686351467,2.5372276739993267,1.7353431349706836,1.4859545850787952,2.1196678055819143,-0.1328113865057194,0.6771978354457756,2.8440835530459463,65.85300000000001,17.466918275862067,61.901739596141326,97.67427718225983,46.15384615384615,0.07452024999999998,0,,0.005271630700778732,32.97733333333334,0.07688542825366479,0.9779425697915082,1.0034949122146184,baseline,14.16666667,14.44444444
01,01,2021-08-19 10:54:43+00:00,2021-08-19 10:55:12+00:00,2021-08-19 10:54:57.500000+00:00,0.3512568992349164,0.15339618873020913,1.306167053311257,0.22419775496261232,0.07473378684363058,0.9101416105100507,0.35908518710008747,0.026137190497115916,0.34406391094982375,0.48141027291615807,0.008965179226134842,0.499565903946874,0.24822118256318693,0.01587629492081688,0.42323099863192315,0.4251928400554815,0.9320780281795584,3.4555960941203305,1.7059671451116831,1.0124169443159863,-0.866862172722301,0.555205825383776,0.5268122725769113,2.5523130085135888,59.02133333333333,14.333680919540226,66.65748467751213,101.02948148836404,42.30769230769231,0.07591895833333333,0,,0.004412646273637439,32.995,0.06660734149059955,0.9780146318141455,0.9993154741512787,baseline,14.16666667,14.44444444
01,01,2021-08-19 10:54:58+00:00,2021-08-19 10:55:27+00:00,2021-08-19 10:55:12.500000+00:00,0.37854294789140114,0.08783079312199034,-0.710657675616656,0.2300273314557368,0.04389579413268619,-0.8524674337898366,0.34370862334908453,0.026689326934367767,-0.06859557283252288,0.49041549358516934,0.014559155620631202,-0.39380689489927556,0.2663817711484929,0.02110880181277079,-0.08723882094721767,1.0193395751673262,4.1609689573867055,0.1774425966934587,2.205867558970419,5.778182177218503,2.57567662180238,0.7345335592554022,0.30488603312428286,-1.0161180761042423,55.611666666666686,0.6432419540229886,69.73264183472982,106.72440751137411,26.923076923076923,0.07708289166666664,0,,0.0037419610678532753,33.013,0.08075639599556075,0.9777671774430986,1.0014389482629442,baseline,14.16666667,14.44444444
01,01,2021-08-19 10:55:13+00:00,2021-08-19 10:55:42+00:00,2021-08-19 10:55:27.500000+00:00,0.21672489370491047,0.039070213412310664,0.17795636685533006,0.11348828357101108,0.009735743468224325,0.08170682662741607,0.2990347755233718,0.014357796231883276,0.22857780634000596,0.3813665436580777,0.011292048066967176,-0.48032406429129193,0.18819989624244043,0.014121463494965378,-0.5559430804079457,0.7678495277768249,4.242968495717042,-2.1426240854563896,1.9770343333019336,6.021107103240155,-6.521094604106649,0.5273111407374204,0.26046053062949914,0.15485170596504666,55.45633333333333,0.028086091954022997,67.62908330484635,94.16574483324602,24.0,0.07801191666666667,0,,0.0030785072302559396,33.026333333333326,0.029766407119080074,0.9774322180660986,1.0059245944824324,baseline,14.16666667,14.44444444
01,01,2021-08-19 10:55:28+00:00,2021-08-19 10:55:57+00:00,2021-08-19 10:55:42.500000+00:00,0.2171010007422107,0.0873867100316487,0.2028982477605519,0.09490886320127175,0.032701675133107594,-0.3950844658533517,0.4061558927935039,0.05526986635124291,0.45239902094863466,0.29228022291208616,0.004745662950977965,-0.16120549665118533,0.07176182764111823,0.011603750527961934,-0.43775665433115873,0.14405717743869334,0.6956002209795847,-2.9061182483229206,0.9696572883558294,0.3104967208485748,-0.2935031204543889,0.4154255139395475,0.39546780135624116,-0.8079285207238397,55.25733333333333,0.03577885057471268,46.539934947008625,56.58620147275646,38.46153846153847,0.0789301,0,,0.003941612903225845,33.02466666666666,-0.022424916573906516,0.9774454715628436,1.0053001607948995,baseline,14.16666667,14.44444444
01,01,2021-08-19 10:55:43+00:00,2021-08-19 10:56:12+00:00,2021-08-19 10:55:57.500000+00:00,0.10835741123495003,0.1399132531194889,-1.0079186791833794,-0.0212020347675813,0.04952958815630121,-0.8385846516824103,0.34544021987282275,0.07485591273446188,-1.1327551549098422,0.29027444683209375,0.0045921243235096205,0.20212544149613532,0.04823157722858012,0.009426353505874311,0.17433526367615967,-0.3756788179575346,1.5104733614470889,-2.639091951536564,1.7269015993564176,3.1963948305799486,4.617094999875439,0.05101575429382823,0.8854567923830409,-2.582591236187437,55.184999999999995,0.009356896551724144,40.49844686797197,51.822262349303124,42.30769230769231,0.079848325,0,,0.004028065628476159,33.01733333333333,-0.024560622914302412,0.9772040375889058,1.004890711613627,baseline,14.16666667,14.44444444
01,01,2021-08-19 10:55:58+00:00,2021-08-19 10:56:27+00:00,2021-08-19 10:56:12.500000+00:00,0.08852129300163748,0.11578801870959782,0.7418433996795406,-0.02291397201139867,0.04977859386442535,0.6230392608438973,0.23430052846645896,0.013627993401845168,0.4097819358759648,0.3542615738901077,0.004174443689579271,0.17989273213673218,0.09144853571633574,0.006389355280000198,-0.06121074057020204,-0.4416682275290835,2.28212463252083,0.9387916731399187,2.337030244190807,4.884452205386872,-1.9888258835842638,0.009708783600192783,0.850580134747294,1.6191003416692258,55.09833333333333,0.03755919540229862,44.0110685925012,60.997566549822295,44.0,0.08084135,0,,0.004929817575083542,33.01433333333333,-0.02255839822021804,0.976879092706228,1.0047470678637864,baseline,14.16666667,14.44444444
