medium_threshold,high_threshold,f1_macro
30.5,55.5,0.6298233936024936
31.0,52.5,0.6297245692004493
27.0,51.5,0.6296631132480947
29.5,56.5,0.6295331804430103
28.0,56.0,0.6294200302778905
27.5,55.5,0.6291628268705453
30.0,56.5,0.6289663303885381
27.0,55.0,0.6288546416945054
29.0,56.5,0.6287460540255662
31.0,53.0,0.6286319404193949
27.0,54.5,0.6284980172438616
29.5,50.5,0.6280991685305845
27.0,51.0,0.6280110538834591
30.5,56.0,0.6278236490936616
31.0,54.0,0.6278216352513116
29.0,50.5,0.6277144110550559
28.5,56.5,0.6273245436881565
27.5,56.0,0.6271825433516127
30.0,50.5,0.6271034191922654
31.0,52.0,0.6270027899174578
28.5,50.5,0.6266094526106453
29.5,50.0,0.6264654385638694
29.0,50.0,0.6261993194329333
26.5,52.5,0.6261946181528711
31.0,53.5,0.6259622967671563
28.0,56.5,0.6254143012115757
30.0,50.0,0.6253446884441163
27.0,55.5,0.6252988920329169
28.5,50.0,0.6251888398808968
26.5,53.0,0.6250456888870225
28.0,50.5,0.6249456862904088
29.5,57.0,0.624774921274536
31.0,55.0,0.6246520964730945
31.0,51.5,0.6244468379662522
31.0,54.5,0.6243180059671404
30.0,57.0,0.6242203204012778
26.5,54.0,0.6240953925265861
29.0,57.0,0.6239775345165169
26.5,52.0,0.6239533385357637
30.5,56.5,0.6237851837854794
28.0,50.0,0.6235995147012415
29.5,57.5,0.6233802257875819
27.0,56.0,0.6233218084187747
27.5,56.5,0.6231828508984653
26.0,52.5,0.6230953052633038
27.5,50.5,0.622891206011103
30.0,57.5,0.6228336887664406
29.0,57.5,0.6225755649155914
28.5,57.0,0.6225489652440196
31.5,52.5,0.6223885348369016
26.5,53.5,0.6223751316974969
31.0,51.0,0.6220690355988764
26.0,53.0,0.6219448962838309
26.5,51.5,0.6216267142776053
27.5,50.0,0.6215997200832472
30.5,50.5,0.6215099073064345
31.5,53.0,0.6213096512126222
28.5,57.5,0.6211415138042342
25.5,52.5,0.6211239607480229
31.0,55.5,0.6210291146313341
26.0,54.0,0.6209925856423579
26.0,52.0,0.6208750488116542
26.5,55.0,0.6207876589650632
28.0,57.0,0.6206339901586487
31.5,54.0,0.6205408823347747
26.5,54.5,0.6204261006005853
32.0,52.5,0.620367834376549
26.5,51.0,0.620009623780076
25.5,53.0,0.6199698532068593
30.5,50.0,0.6196398223479318
31.5,52.0,0.6195866712217699
27.0,56.5,0.6193284983923572
32.0,53.0,0.6192963001110081
26.0,53.5,0.6192776378654562
28.0,57.5,0.6192224531393643
27.0,50.5,0.6191641986212378
30.5,57.0,0.6190575696447632
31.0,56.0,0.6190297429511532
25.5,54.0,0.6190091781725783
25.5,52.0,0.6189394890841241
31.5,53.5,0.6186549317405693
26.0,51.5,0.618557855756591
32.0,54.0,0.6185478605315006
27.5,57.0,0.618400133379592
29.5,58.0,0.6183765284227721
27.0,50.0,0.6179146958784906
30.0,58.0,0.6178420729677514
26.0,55.0,0.6176828810601993
30.5,57.5,0.6176803353610449
29.0,58.0,0.6175617505826664
32.0,52.0,0.6175136991057927
31.5,55.0,0.61741239871589
26.0,54.5,0.6173189514098684
25.5,53.5,0.6173042213827428
26.5,55.5,0.6172466627303178
31.5,54.5,0.617077731974213
31.5,51.5,0.6169898584331986
27.5,57.5,0.6169859057426326
26.0,51.0,0.6169711823650518
25.0,52.5,0.6168772008826514
32.0,53.5,0.6166458495966692
25.5,51.5,0.6166390378415965
28.5,58.0,0.6161207433566179
25.0,53.0,0.6157219055866171
25.5,55.0,0.6156912055945637
32.0,55.0,0.6154394247600629
29.5,58.5,0.615383084027988
25.5,54.5,0.6153246324771859
26.5,56.0,0.6152744808752341
25.5,51.0,0.6151073020865698
32.0,54.5,0.6151062872500291
31.0,56.5,0.614992039786091
32.0,51.5,0.6148911467585152
30.0,58.5,0.614864539346321
25.0,54.0,0.6147602168692644
25.0,52.0,0.6147126389607984
29.0,58.5,0.6145539503535956
27.0,57.0,0.6145460686624374
31.5,51.0,0.614472802413616
28.0,58.0,0.614197023631733
26.0,55.5,0.6141489737135454
31.5,55.5,0.613791170012213
32.5,52.5,0.6132078861993074
27.0,57.5,0.613130405818347
28.5,58.5,0.6131021229394162
25.0,53.5,0.6130601241080503
30.5,58.0,0.6127069118771393
25.0,51.5,0.6124209877295782
32.0,51.0,0.6122874232544436
26.0,56.0,0.6121791465268115
25.5,55.5,0.6121651978331044
32.5,53.0,0.61215002698096
31.0,50.5,0.6120499627540474
27.5,58.0,0.6119581166071244
32.0,55.5,0.6118136448121422
31.5,56.0,0.6117923907970315
32.5,54.0,0.6114433302684946
25.0,55.0,0.6114412654828195
26.5,56.5,0.61129095039066
26.5,50.5,0.6112418895144941
28.0,58.5,0.611170338782279
25.0,54.5,0.611072191394126
29.5,59.0,0.6109604430096458
25.0,51.0,0.6109174298375992
30.0,59.0,0.6104340411896322
31.0,57.0,0.6102964790164389
32.5,52.0,0.6102762558377074
25.5,56.0,0.6101979936056849
29.0,59.0,0.6101399527080321
26.5,50.0,0.6100355903418254
31.0,50.0,0.6100026502315478
32.0,56.0,0.609813360598205
30.5,58.5,0.6097479447373082
32.5,53.5,0.6095152924248075
31.0,57.5,0.608934995787252
27.5,58.5,0.60892612362192
28.5,59.0,0.60869596870646
32.5,55.0,0.6083761280160581
26.0,50.5,0.6082608231959826
26.0,56.5,0.6082003129890453
27.0,58.0,0.6081029286964527
32.5,54.5,0.6080419901638576
25.0,55.5,0.6079227362121781
31.5,56.5,0.6077558845867607
32.5,51.5,0.6076139117516762
33.0,52.5,0.6071531200416963
29.5,59.5,0.6071253010206639
26.0,50.0,0.6070894835497053
28.0,59.0,0.6067710751161163
30.0,59.5,0.6066029032865031
26.5,57.0,0.6065127558569084
25.5,50.5,0.6064907933993172
29.0,59.5,0.6063019697267048
25.5,56.5,0.6062243906978557
33.0,53.0,0.6061099556810959
25.0,56.0,0.6059580167005602
32.0,56.5,0.6057738623935807
33.0,54.0,0.6054473550366198
25.5,50.0,0.6053803321716439
30.5,59.0,0.6053164338370206
26.5,57.5,0.6050967826778385
27.0,58.5,0.6050681139944929
32.5,51.0,0.6048741554400909
28.5,59.5,0.6048565048607473
32.5,55.5,0.6047533677500613
27.5,59.0,0.6045328044535877
29.5,60.0,0.604487839609416
31.5,50.5,0.6042576282267104
33.0,52.0,0.6041344385351588
31.0,58.0,0.6039932682644432
30.0,60.0,0.6039929069409187
29.0,60.0,0.6036389449605487
33.0,53.5,0.603490632881481
26.0,57.0,0.6034215611549313
31.5,57.0,0.6030875495269061
28.0,59.5,0.6029310271858731
32.5,56.0,0.6027540962632687
33.0,55.0,0.6024236713060002
25.0,50.5,0.6023558029078608
28.5,60.0,0.6021735456933716
33.0,54.5,0.6020891909502303
31.5,50.0,0.6020628676131322
26.0,57.5,0.6020041483557257
25.0,56.5,0.6019893711002595
32.0,50.5,0.6019386556595859
31.5,57.5,0.6017393064127429
30.5,59.5,0.6014940232061535
25.5,57.0,0.601441002837069
33.0,51.5,0.6014277589024927
25.0,50.0,0.601278027236836
32.0,57.0,0.6011182485376034
31.0,58.5,0.6010654142724919
27.5,59.5,0.6006930733126462
27.0,59.0,0.6006810796782768
28.0,60.0,0.6002326877295836
26.5,58.0,0.6000735461323913
25.5,57.5,0.6000199867487834
32.0,57.5,0.5997770647042192
32.0,50.0,0.5996491215456227
30.5,60.0,0.5989120335042791
33.0,55.5,0.5988019677952215
32.5,56.5,0.5987166326698518
33.0,51.0,0.5985367713028084
33.5,52.5,0.5985298085728502
27.5,60.0,0.597983909807814
33.5,53.0,0.5975023058501262
25.0,57.0,0.5972061250784928
26.5,58.5,0.5970381491426722
26.0,58.0,0.5969803790060625
33.5,54.0,0.5968891271065262
27.0,59.5,0.5968430725575838
31.5,58.0,0.5968244889115186
33.0,56.0,0.5968030582363809
31.0,59.0,0.5966345972458026
25.0,57.5,0.5957839525289389
33.5,52.0,0.5954306074128334
25.5,58.0,0.5949916405730443
33.5,53.5,0.5949042260526674
32.0,58.0,0.5948747881637017
32.5,50.5,0.5943362576872682
27.0,60.0,0.5941266069091341
32.5,57.0,0.5940884653124759
26.0,58.5,0.5939421449386437
31.5,58.5,0.5939227751808546
33.5,55.0,0.593914253528283
33.5,54.5,0.5935770264092327
31.0,59.5,0.5928279958246325
33.0,56.5,0.5927663328846332
32.5,57.5,0.5927604205048757
33.5,51.5,0.5926817009959778
26.5,59.0,0.5926607462423746
34.0,52.5,0.5926413472414037
32.0,58.5,0.5919869838482656
25.5,58.5,0.5919462817543714
