,reg_mae_temporal,clf_acc_temporal,clf_f1_macro_temporal,reg_mae_loso_mean,reg_mae_loso_std,clf_acc_loso_mean,clf_acc_loso_std,clf_f1_macro_loso_mean,clf_f1_macro_loso_std
EEG_only,14.432727335007522,0.5564245810055866,0.45781204210905974,16.459207323880754,5.520321343339443,0.6145976824120571,0.2289292355844576,0.36430906290549664,0.12270493073494863
Wrist_only,18.405900965387648,0.4402234636871508,0.24317371661413,19.727528944086274,6.64798977306827,0.5133007193417751,0.1610746013596181,0.27210259592442587,0.08024615179061144
Combined,17.17677807593842,0.5027932960893855,0.3481533627349935,16.956358771474346,5.501824071871924,0.5603628169542062,0.22549824881535846,0.33067589718387785,0.1267063306758833
