medium_threshold,high_threshold,f1_macro
40.0,59.0,0.475886802560696
44.0,55.0,0.47162109433273053
42.0,57.0,0.47160105367982413
40.0,61.0,0.46920039265938357
24.0,69.0,0.4688798360117133
20.0,67.0,0.4640892900167353
24.0,85.0,0.4625603693637828
24.0,79.0,0.4625603693637828
24.0,81.0,0.4625603693637828
24.0,71.0,0.4625603693637828
24.0,73.0,0.4625603693637828
24.0,75.0,0.4625603693637828
24.0,77.0,0.4625603693637828
24.0,83.0,0.4625603693637828
40.0,63.0,0.46157281098924163
46.0,55.0,0.4612028211957689
42.0,59.0,0.45966963457147725
44.0,57.0,0.45843995459285763
34.0,69.0,0.45686529599737685
48.0,55.0,0.4537603169814371
42.0,61.0,0.4532023227787845
22.0,69.0,0.4530668021571079
36.0,67.0,0.4526905438174249
38.0,65.0,0.4521309988485092
34.0,71.0,0.4504814970026357
34.0,81.0,0.4504814970026357
34.0,83.0,0.4504814970026357
34.0,77.0,0.4504814970026357
34.0,75.0,0.4504814970026357
34.0,73.0,0.4504814970026357
34.0,79.0,0.4504814970026357
34.0,85.0,0.4504814970026357
46.0,57.0,0.44814559893693345
22.0,71.0,0.44676153491246007
22.0,85.0,0.44676153491246007
22.0,73.0,0.44676153491246007
22.0,75.0,0.44676153491246007
22.0,79.0,0.44676153491246007
22.0,83.0,0.44676153491246007
22.0,81.0,0.44676153491246007
22.0,77.0,0.44676153491246007
44.0,59.0,0.44672816912723023
42.0,63.0,0.44567939593814737
48.0,57.0,0.44079914093019196
44.0,61.0,0.4404482818007167
50.0,55.0,0.43833788422295045
20.0,69.0,0.4371126114757944
46.0,59.0,0.4366221705032318
44.0,63.0,0.43301538824454283
20.0,75.0,0.4308193331861124
20.0,77.0,0.4308193331861124
20.0,79.0,0.4308193331861124
20.0,81.0,0.4308193331861124
20.0,83.0,0.4308193331861124
20.0,85.0,0.4308193331861124
20.0,71.0,0.4308193331861124
20.0,73.0,0.4308193331861124
46.0,61.0,0.4305024842868776
40.0,65.0,0.4296043691616012
48.0,59.0,0.4294252159474208
50.0,57.0,0.4255674465697466
36.0,69.0,0.4253988525379023
38.0,67.0,0.42427720927500884
48.0,61.0,0.4234336951763386
46.0,63.0,0.4231467343932318
36.0,85.0,0.41903682752217924
36.0,79.0,0.41903682752217924
36.0,77.0,0.41903682752217924
36.0,83.0,0.41903682752217924
36.0,81.0,0.41903682752217924
36.0,71.0,0.41903682752217924
36.0,75.0,0.41903682752217924
36.0,73.0,0.41903682752217924
48.0,63.0,0.41613864539936535
50.0,59.0,0.4144651150822956
42.0,65.0,0.4138633579513808
50.0,61.0,0.40869864153949137
40.0,67.0,0.40188000299836757
50.0,63.0,0.40151632737029375
44.0,65.0,0.40133288124521266
38.0,69.0,0.3971049336171455
46.0,65.0,0.3915796012772134
38.0,83.0,0.3907693350940001
38.0,85.0,0.3907693350940001
38.0,75.0,0.3907693350940001
38.0,73.0,0.3907693350940001
38.0,71.0,0.3907693350940001
38.0,79.0,0.3907693350940001
38.0,81.0,0.3907693350940001
38.0,77.0,0.3907693350940001
42.0,67.0,0.38622935534605013
48.0,65.0,0.3846580358025114
40.0,69.0,0.3748229420926235
44.0,67.0,0.37377867204921644
50.0,65.0,0.3702233806858033
40.0,71.0,0.36851278544645744
40.0,73.0,0.36851278544645744
40.0,75.0,0.36851278544645744
40.0,77.0,0.36851278544645744
40.0,79.0,0.36851278544645744
40.0,81.0,0.36851278544645744
40.0,83.0,0.36851278544645744
40.0,85.0,0.36851278544645744
46.0,67.0,0.3640945485305844
42.0,69.0,0.3592527307305416
48.0,67.0,0.3572235942312722
42.0,79.0,0.35296033519855613
42.0,77.0,0.35296033519855613
42.0,75.0,0.35296033519855613
42.0,73.0,0.35296033519855613
42.0,71.0,0.35296033519855613
42.0,85.0,0.35296033519855613
42.0,83.0,0.35296033519855613
42.0,81.0,0.35296033519855613
44.0,69.0,0.34687296553891334
50.0,67.0,0.34290668673904773
44.0,83.0,0.34059621566508125
44.0,85.0,0.34059621566508125
44.0,71.0,0.34059621566508125
44.0,79.0,0.34059621566508125
44.0,73.0,0.34059621566508125
44.0,75.0,0.34059621566508125
44.0,77.0,0.34059621566508125
44.0,81.0,0.34059621566508125
46.0,69.0,0.3372502360640959
46.0,73.0,0.3309870218510269
46.0,71.0,0.3309870218510269
46.0,85.0,0.3309870218510269
46.0,83.0,0.3309870218510269
46.0,81.0,0.3309870218510269
46.0,79.0,0.3309870218510269
46.0,77.0,0.3309870218510269
46.0,75.0,0.3309870218510269
48.0,69.0,0.33042420425660163
48.0,71.0,0.32417089317985687
48.0,85.0,0.32417089317985687
48.0,83.0,0.32417089317985687
48.0,81.0,0.32417089317985687
48.0,79.0,0.32417089317985687
48.0,77.0,0.32417089317985687
48.0,75.0,0.32417089317985687
48.0,73.0,0.32417089317985687
50.0,69.0,0.31621152181609474
50.0,71.0,0.30998115101837637
50.0,73.0,0.30998115101837637
50.0,75.0,0.30998115101837637
50.0,77.0,0.30998115101837637
50.0,79.0,0.30998115101837637
50.0,81.0,0.30998115101837637
50.0,83.0,0.30998115101837637
50.0,85.0,0.30998115101837637
